Gmt time,Open,High,Low,Close
2014-11-28 00:00:00,363.59,381.34,360.57,376.28
2014-11-29 00:00:00,376.42,386.6,372.25,376.72
2014-11-30 00:00:00,376.57,381.99,373.32,373.34
2014-12-01 00:00:00,376.4,382.31,373.03,378.39
2014-12-02 00:00:00,378.39,382.86,375.23,379.25
2014-12-03 00:00:00,379.25,383.0,374.23,376.67
2014-12-04 00:00:00,376.67,378.99,360.01,365.2
2014-12-05 00:00:00,365.2,377.89,363.99,374.95
2014-12-06 00:00:00,374.95,376.99,371.31,375.07
2014-12-07 00:00:00,375.07,377.5,373.16,376.87
2014-12-08 00:00:00,376.87,377.45,364.6,364.61
2014-12-09 00:00:00,364.61,365.48,343.97,350.49
2014-12-10 00:00:00,350.49,353.74,347.23,348.13
2014-12-11 00:00:00,348.13,364.43,339.8,348.98
2014-12-12 00:00:00,348.98,358.59,348.0,354.48
2014-12-13 00:00:00,354.48,354.95,347.03,351.45
2014-12-14 00:00:00,351.45,351.98,348.96,350.17
2014-12-15 00:00:00,350.17,350.17,350.17,350.17
2014-12-16 00:00:00,350.17,350.17,330.0,330.02
2014-12-17 00:00:00,331.56,335.99,315.23,321.1
2014-12-18 00:00:00,321.32,325.61,304.99,312.17
2014-12-19 00:00:00,310.48,320.0,307.11,318.0
2014-12-20 00:00:00,317.23,333.0,316.52,329.99
2014-12-21 00:00:00,332.58,332.98,318.78,323.15
2014-12-22 00:00:00,322.24,333.99,319.9,330.52
2014-12-23 00:00:00,330.52,338.99,327.49,335.49
2014-12-24 00:00:00,337.0,337.0,320.92,322.14
2014-12-25 00:00:00,320.92,324.23,316.63,319.39
2014-12-26 00:00:00,319.0,332.0,316.64,330.88
2014-12-27 00:00:00,330.97,330.97,311.63,315.89
2014-12-28 00:00:00,315.89,319.56,311.22,316.63
2014-12-29 00:00:00,316.63,320.14,311.61,314.78
2014-12-30 00:00:00,314.78,316.77,310.0,311.94
2014-12-31 00:00:00,311.94,320.0,310.69,319.25
2015-01-01 00:00:00,319.25,321.0,312.6,316.31
2015-01-02 00:00:00,316.31,317.01,311.96,316.51
2015-01-03 00:00:00,316.51,316.58,285.0,286.01
2015-01-04 00:00:00,286.01,289.81,255.0,264.62
2015-01-05 00:00:00,264.62,280.0,262.94,276.8
2015-01-06 00:00:00,276.8,276.8,276.8,276.8
2015-01-07 00:00:00,276.8,276.8,276.8,276.8
2015-01-08 00:00:00,276.8,276.8,276.8,276.8
2015-01-09 00:00:00,276.8,276.8,276.8,276.8
2015-01-10 00:00:00,276.8,276.8,276.8,276.8
2015-01-11 00:00:00,276.8,276.8,276.8,276.8
2015-01-12 00:00:00,270.4,272.43,263.54,268.16
2015-01-13 00:00:00,268.16,268.72,216.0,221.0
2015-01-14 00:00:00,221.0,230.89,152.4,162.0
2015-01-15 00:00:00,162.0,233.9,161.1,208.81
2015-01-16 00:00:00,214.77,223.15,198.04,206.6
2015-01-17 00:00:00,206.6,212.84,192.17,200.1
2015-01-18 00:00:00,200.1,222.0,195.02,211.42
2015-01-19 00:00:00,210.05,220.94,207.7,216.88
2015-01-20 00:00:00,217.84,217.84,201.98,211.08
2015-01-21 00:00:00,211.08,228.9,205.0,228.59
2015-01-22 00:00:00,228.59,239.0,226.01,233.0
2015-01-23 00:00:00,233.0,240.0,225.55,233.03
2015-01-24 00:00:00,233.03,249.99,230.03,249.99
2015-01-25 00:00:00,249.99,257.0,241.33,253.09
2015-01-26 00:00:00,253.09,309.9,253.09,269.5
2015-01-27 00:00:00,269.5,278.51,243.1,262.99
2015-01-28 00:00:00,262.99,266.45,225.91,236.2
2015-01-29 00:00:00,236.2,242.18,220.0,234.75
2015-01-30 00:00:00,234.75,244.98,227.26,232.6
2015-01-31 00:00:00,232.6,234.8,215.75,217.98
2015-02-01 00:00:00,217.98,220.81,208.48,214.8
2015-02-02 00:00:00,214.8,241.98,214.8,237.97
2015-02-03 00:00:00,237.97,244.39,223.79,227.35
2015-02-04 00:00:00,227.35,231.0,220.02,227.0
2015-02-05 00:00:00,227.0,228.94,213.64,217.0
2015-02-06 00:00:00,216.81,225.86,214.95,222.88
2015-02-07 00:00:00,223.37,231.14,221.77,228.61
2015-02-08 00:00:00,228.3,232.89,219.7,224.19
2015-02-09 00:00:00,224.19,225.99,215.0,220.72
2015-02-10 00:00:00,220.72,222.0,215.0,220.95
2015-02-11 00:00:00,220.95,223.43,217.99,219.12
2015-02-12 00:00:00,219.55,223.07,218.17,222.46
2015-02-13 00:00:00,223.0,242.35,221.37,236.86
2015-02-14 00:00:00,237.0,259.31,236.9,257.9
2015-02-15 00:00:00,256.99,265.89,227.75,234.01
2015-02-16 00:00:00,234.01,241.23,229.2,236.55
2015-02-17 00:00:00,236.55,248.78,232.01,244.96
2015-02-18 00:00:00,244.96,247.0,232.24,235.79
2015-02-19 00:00:00,237.37,245.01,235.66,242.67
2015-02-20 00:00:00,240.59,248.96,239.41,246.1
2015-02-21 00:00:00,245.48,247.48,244.0,245.87
2015-02-22 00:00:00,245.41,247.42,232.48,236.68
2015-02-23 00:00:00,236.68,240.66,232.05,238.92
2015-02-24 00:00:00,239.65,240.88,236.3,239.69
2015-02-25 00:00:00,239.94,240.61,236.0,238.0
2015-02-26 00:00:00,237.97,238.55,234.01,236.7
2015-02-27 00:00:00,236.7,256.15,236.16,253.06
2015-02-28 00:00:00,253.06,254.29,245.2,252.98
2015-03-01 00:00:00,253.47,260.0,245.0,255.81
2015-03-02 00:00:00,258.34,274.81,256.0,274.0
2015-03-03 00:00:00,274.0,284.95,265.89,279.0
2015-03-04 00:00:00,279.0,283.88,264.94,269.83
2015-03-05 00:00:00,269.83,280.5,262.2,273.8
2015-03-06 00:00:00,273.8,276.46,269.0,273.26
2015-03-07 00:00:00,273.26,279.48,270.0,275.59
2015-03-08 00:00:00,275.59,277.59,271.12,274.89
2015-03-09 00:00:00,274.89,289.0,274.17,287.0
2015-03-10 00:00:00,287.0,296.8,283.96,290.24
2015-03-11 00:00:00,290.24,296.74,285.83,295.11
2015-03-12 00:00:00,295.11,297.95,289.0,295.56
2015-03-13 00:00:00,295.56,295.84,282.99,284.4
2015-03-14 00:00:00,284.4,287.69,280.46,282.7
2015-03-15 00:00:00,282.7,287.75,281.42,286.4
2015-03-16 00:00:00,286.4,294.26,285.78,289.7
2015-03-17 00:00:00,289.7,292.99,281.9,284.46
2015-03-18 00:00:00,284.46,284.48,249.02,257.29
2015-03-19 00:00:00,257.29,265.95,249.0,262.01
2015-03-20 00:00:00,262.01,265.27,257.0,262.09
2015-03-21 00:00:00,262.09,262.62,256.25,259.8
2015-03-22 00:00:00,259.8,272.0,259.24,269.39
2015-03-23 00:00:00,269.39,270.07,259.5,265.84
2015-03-24 00:00:00,265.84,266.52,241.84,246.93
2015-03-25 00:00:00,246.93,250.0,236.4,247.68
2015-03-26 00:00:00,247.68,253.75,244.91,249.46
2015-03-27 00:00:00,249.46,250.52,245.12,248.09
2015-03-28 00:00:00,248.09,253.83,247.17,252.31
2015-03-29 00:00:00,252.31,252.96,239.96,242.19
2015-03-30 00:00:00,242.19,248.86,236.52,247.69
2015-03-31 00:00:00,247.69,248.59,238.55,243.98
2015-04-01 00:00:00,243.98,246.83,239.32,245.98
2015-04-02 00:00:00,245.98,256.96,244.52,253.16
2015-04-03 00:00:00,253.16,256.67,251.23,253.79
2015-04-04 00:00:00,253.79,255.85,250.76,253.45
2015-04-05 00:00:00,253.45,261.0,251.65,260.5
2015-04-06 00:00:00,260.5,262.98,254.0,255.83
2015-04-07 00:00:00,255.83,256.62,251.5,254.45
2015-04-08 00:00:00,254.45,254.96,243.06,244.09
2015-04-09 00:00:00,244.09,246.3,238.47,243.53
2015-04-10 00:00:00,243.53,243.94,231.0,234.77
2015-04-11 00:00:00,234.77,239.42,233.0,237.34
2015-04-12 00:00:00,237.34,237.5,233.42,236.3
2015-04-13 00:00:00,236.3,236.9,219.64,222.87
2015-04-14 00:00:00,222.87,224.79,210.0,216.42
2015-04-15 00:00:00,216.42,222.43,214.05,221.51
2015-04-16 00:00:00,221.51,229.67,221.51,227.59
2015-04-17 00:00:00,227.59,228.29,220.0,221.86
2015-04-18 00:00:00,221.86,224.72,220.32,223.14
2015-04-19 00:00:00,223.14,227.35,221.91,222.89
2015-04-20 00:00:00,222.89,226.51,221.43,224.07
2015-04-21 00:00:00,224.07,235.61,223.91,234.13
2015-04-22 00:00:00,234.13,238.64,229.1,233.0
2015-04-23 00:00:00,233.0,236.22,232.01,235.14
2015-04-24 00:00:00,235.14,236.0,228.0,231.06
2015-04-25 00:00:00,231.06,232.29,225.7,226.28
2015-04-26 00:00:00,226.28,227.26,214.98,219.49
